isin,ticker,name
DE000A0D6554,NDX1,NORDEX SE O.N.
DE000A0WMPJ6,AIXA,AIXTRON SE NA O.N.
DE000A0Z2XN6,RIB,RIB SOFTWARE SE  NA EO 1
DE000A0Z2ZZ5,FNTN,FREENET AG NA O.N.
DE000A1J5RX9,O2D,TELEFONICA DTLD HLDG AG
DE000A1ML7J1,VNA,VONOVIA SE NA O.N.
DE000BASF111,BAS,BASF SE NA O.N.
DE000CBK1001,CBK,COMMERZBANK AG
DE000ENAG999,EOAN,E.ON SE NA O.N.
DE000PSM7770,PSM,PROSIEBENSAT.1  NA O.N.
DE000WAF3001,WAF,SILTRONIC AG NA O.N.
DE000XNG8888,O1BC,XING AG NA O.N.
DE0003304002,SOW,SOFTWARE AG O.N.
DE0005089031,UTDI,UTD.INTERNET AG NA
DE0005103006,ADV,ADVA OPT.NETW.SE  O.N.
DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.
DE0005158703,BC8,BECHTLE AG O.N.
DE0005190003,BMW,BAY.MOTOREN WERKE AG ST
DE0005190037,BMW3,BAY.MOTOREN WERKE  VZO
DE0005200000,BEI,BEIERSDORF AG O.N.
DE0005313704,AFX,CARL ZEISS MEDITEC AG
DE0005419105,COK,CANCOM SE O.N.
DE0005439004,CON,CONTINENTAL AG O.N.
DE0005552004,DPW,DEUTSCHE POST AG NA O.N.
DE0005557508,DTE,DT.TELEKOM AG NA
DE0005785604,FRE,FRESENIUS SE+CO.KGAA O.N.
DE0005785802,FME,FRESEN.MED.CARE KGAA O.N.
DE0005810055,DB1,DEUTSCHE BOERSE NA O.N.
DE0006047004,HEI,HEIDELBERGCEMENT AG O.N.
DE0006048408,HEN,HENKEL AG+CO.KGAA ST O.N.
DE0006048432,HEN3,HENKEL AG+CO.KGAA VZO
DE0006483001,LIN,LINDE AG O.N.
DE0006599905,MRK,MERCK KGAA O.N.
DE0007037129,RWE,RWE AG ST O.N.
DE0007100000,DAI,DAIMLER AG NA O.N.
DE0007165631,SRT3,SARTORIUS AG VZO O.N.
DE0007236101,SIE,SIEMENS AG NA
DE0007472060,WDI,WIRECARD AG
DE0007664005,VOW,VOLKSWAGEN AG ST O.N.
DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.
DE0008232125,LHA,LUFTHANSA AG VNA O.N.
DE0008404005,ALV,ALLIANZ SE NA O.N.
DE0008430026,MUV2,MUENCH.RUECKVERS.VNA O.N.
GB0059822006,DLG,"DIALOG SEMICOND.   LS-,10"
NL0012169213,QIA,"QIAGEN NV         EO -,01"
DE000A111338,AM3D,SLM SOLUTIONS GRP AG
DE0006229107,JEN,JENOPTIK AG O.N.
DE0007165607,SRT,SARTORIUS AG O.N.
AT0000A0E9W5,SANT,S+T AG (Z.REG.MK.Z.)O.N.
DE000A0DNAY5,ACX,BET-AT-HOME.COM AG O.N.
DE000A0DPRE6,LNSX,SIXT LEASING O.N.
DE000A0ETBQ4,MBB,MBB SE O.N.
DE000A0HGQS8,P4O,PLAN OPTIK         O.N.
DE000A0JBPG2,PNE3,PNE WIND AG NA O.N.
DE000A0JK2A8,AR4,AURELIUS EQ.OPP.   O.N.
DE000A0JL9W6,VBK,VERBIO VER.BIOENERGIE  ON
DE000A0KFKB3,E7S,ACCENTRO R.EST.AG  O.N.
DE000A0LD2U1,AOX,ALSTRIA OFFICE REIT-AG
DE000A0LD6E6,GXI,GERRESHEIMER AG
DE000A0LR936,ST5,STEICO SE
DE000A0STST2,TTI,TOM TAILOR HLDG  NA O.N.
DE000A0S8488,HHFA,HAMBURG.HAFEN U.LOG.A-SP
DE000A0XYGA7,TTR1,TECHNOTRANS AG NA O.N.
DE000A0Z1JH9,PSAN,PSI SOFTWARE AG NA O.N.
DE000A1EMG56,WIG1,WIGE MEDIA AG
DE000A1EWVY8,FYB,FORMYCON AG
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.
DE000A1JBPV9,SW1,SHW AG
DE000A1K0201,GSC1,GESCO AG NA O.N.
DE000A1K0235,SMHN,SUESS MICROTEC AG NA O.N.
DE000A1K03W5,99SC,STARAMBA SE  O.N.
DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.
DE000A1TNV91,ADE,BITCOIN GROUP SE  O.N.
DE000A1X3W00,MDG1,MEDIGENE AG NA O.N.
DE000A1YCMM2,SWVK,SOLARWORLD AG   O.N.
DE000A12B8Z4,TLG,TLG IMMOBILIEN AG
DE000A12DM80,G24,SCOUT24 AG NA O.N.
DE000A13SX22,HLE,HELLA KGAA HUECK+CO. O.N.
DE000A14KL72,VSC,4SC AG
DE000A2AADD2,IGY,INNOGY SE  INH. O.N.
DE000A2DAM03,AAG,AUMANN AG
DE000A2DAM11,TINA,BAUMOT GROUP AG  O.N.
DE000A2DA588,MXHN,MAX AUTOMATION AG NA O.N.
DE000BAY0017,BAYN,BAYER AG NA O.N.
DE000HLAG475,HLAG,HAPAG-LLOYD AG NA O.N.
DE000KC01000,KCO,KLOECKNER + CO SE NA O.N.
DE000KGX8881,KGX,KION GROUP AG
DE000KSAG888,SDF,K+S AG NA O.N.
DE000LED4000,OSR,OSRAM LICHT AG NA O.N.
DE000SHA0159,SHA,SCHAEFFLER AG INH. VZO
DE000STRA555,SBS,STRATEC BIOMEDICAL  NA ON
DE000SYM9999,SY1,SYMRISE AG INH. O.N.
DE000TLX1005,TLX,TALANX AG NA O.N.
DE000UNSE018,UN01,UNIPER SE  NA O.N.
DE000WACK012,WAC,WACKER NEUSON SE NA O.N.
DE0002457512,VIH,VIB VERMOEGEN O.N.
DE0003304101,GWI1,GERRY WEBER INTERNAT.O.N.
DE0005093108,AAD,AMADEUS FIRE AG
DE0005137004,QSC,QSC AG NA O.N.
DE0005157101,HNL,DR. HOENLE AG O.N.
DE0005176903,SUR,SURTECO SE
DE0005178008,SYT,SOFTING AG O.N.
DE0005194062,BYW6,BAYWA AG VINK.NA. O.N.
